127.0.0.1 - - [28/Jan/2016:16:22:11 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:11 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:11 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:12 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:12 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:12 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:12 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:13 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:13 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:13 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:13 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:14 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:14 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:14 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:14 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:15 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:15 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:15 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:15 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:16 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:16 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:16 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:16 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:17 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:17 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:17 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:17 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:18 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:18 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:18 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:18 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:19 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:19 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:19 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:19 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:20 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:20 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:20 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:20 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:21 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:21 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:21 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:21 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:22 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:22 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:22 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:22 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:23 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:23 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:23 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:23 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:24 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:24 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:24 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:24 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:25 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:25 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:25 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:25 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:26 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
